Tweet,Geo,Location
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,Mumbai India
"@HinduArijita @smritiirani @BJP4Bengal @narendramodi Madam try contacting few young leaders and activists, Bagga, Anshul saxena and others like them will provide exposure to your issue and someone would come out to help. Write to them if possible. @AskAnshul @TajinderBagga.",,
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,"Ranchi, India"
"@KailashOnline 
Announce candidate list from West Bengal by President Dilip Ghosh",,India
RT @smritiirani: Joined @dpradhanbjp Ji &amp; karyakartas of @BJP4Bengal in supporting @SuvenduWB Ji as he filed his nomination from Nandigram…,,"Kolkata, India - "
"RT @thewire_in: .@BJP4Bengal oversaw that the “Hindu identity” surpassed all other conflicting identities across the state, and pitted them…",,
Sir g vote to waise bhi milna wale hai .. thode extra ho jaye .,,
"How to become Millionaire without any investment, he left his Police service but not aim of doing business!

Today's many Political party behind him and investing to win election !

@RakeshTikaitBKU now hired by @MamataOfficial 

#RakeshTikaitExposed 

@BJP4Bengal @Shehzad_Ind",,"Bhubaneswar, India"
"RT @TimesNow: People ready for Mamata Banerjee’s 'visarjan': BJP’s @DilipGhoshBJP. | #May2WithTimesNow

https://t.co/P8V9YDqswA",,الجليعة والزور وصولة والضباعية
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,"Hyderabad, India"
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,"New Delhi, India"
"RT @SaketGokhale: Since 2017, BJP's Mukul Roy has occupied the plush Lutyens bungalow at 181 South Avenue illegally &amp; has been allotted it…",,"Hyderabad, India"
@chshekharbjp @BJP4Bengal Jay bjp,,"राजस्थान, भारत"
"#Nandigram BJP candidate and now a voter too! @SuvenduWB gets a new Electors Photo Identity Card

@sandeep72758056 @devendraabjp @deep221187 @kvjhaofficial @ChaitalyRoy @ppandya_can @DrDharmSharma1 @deep221187 #WestBengalElections2021 #WestBengal 

https://t.co/nFevEPHuTt",,
@NewsroomPostCom @BJP4Bengal @AITCofficial @MamataOfficial Head turned due to over aging.,,
"RT @SaketGokhale: Like Saradha scam accused Mukul Roy, another such bungalow has been occupied for years by Bajrang Dal founder Vinay Katiy…",,"Hyderabad, India"
RT @SaketGokhale: Why is Saradha Scam accused Mukul Roy being allowed to live in a plush Lutyens bungalow meant only for MPs illegally sinc…,,"Hyderabad, India"
"RT @SaketGokhale: HOWEVER, here's the catch: Chairman of the House Committee of the Rajya Sabha can keep extending the duration as he wishe…",,"Hyderabad, India"
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,"New Delhi, India"
"RT @SaketGokhale: How Saradha Scam accused Mukul Roy is living off taxpayer funds in a plush Lutyens bungalow courtesy the BJP:

BJP's Muku…",,
@ArtiSinghRao @Rao_InderjitS @BJP4Bengal Right,,
RT @smritiirani: Didi says ‘Khela Hobe’ but West Bengal’s ‘Asol Poriborton’ will be done by PM @narendramodi Ji. Nandigram and West Bengal…,,"Amethi, India"
